"yesno" "V1" "V2"
"Mean and Std. Deviation of" 386 "fBodyAccJerk-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 387 "fBodyAccJerk-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 388 "fBodyAccJerk-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 389 "fBodyAccJerk-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 390 "fBodyAccJerk-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 391 "fBodyAccJerk-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 392 "fBodyAccJerk-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 393 "fBodyAccJerk-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 394 "fBodyAccJerk-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 395 "fBodyAccJerk-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 396 "fBodyAccJerk-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 397 "fBodyAccJerk-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 398 "fBodyAccJerk-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 399 "fBodyAccJerk-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 400 "fBodyAccJerk-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 401 "fBodyAccJerk-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 402 "fBodyAccJerk-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 403 "fBodyAccJerk-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 404 "fBodyAccJerk-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 405 "fBodyAccJerk-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 406 "fBodyAccJerk-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 407 "fBodyAccJerk-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 408 "fBodyAccJerk-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 409 "fBodyAccJerk-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 410 "fBodyAccJerk-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 411 "fBodyAccJerk-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 412 "fBodyAccJerk-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 413 "fBodyAccJerk-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 414 "fBodyAccJerk-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 415 "fBodyAccJerk-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 416 "fBodyAccJerk-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 417 "fBodyAccJerk-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 418 "fBodyAccJerk-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 419 "fBodyAccJerk-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 420 "fBodyAccJerk-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 421 "fBodyAccJerk-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 422 "fBodyAccJerk-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 423 "fBodyAccJerk-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 424 "fBodyGyro-mean()-X"
"Mean and Std. Deviation of" 425 "fBodyGyro-mean()-Y"
"Mean and Std. Deviation of" 426 "fBodyGyro-mean()-Z"
"Mean and Std. Deviation of" 427 "fBodyGyro-std()-X"
"Mean and Std. Deviation of" 428 "fBodyGyro-std()-Y"
"Mean and Std. Deviation of" 429 "fBodyGyro-std()-Z"
"Mean and Std. Deviation of" 430 "fBodyGyro-mad()-X"
"Mean and Std. Deviation of" 431 "fBodyGyro-mad()-Y"
"Mean and Std. Deviation of" 432 "fBodyGyro-mad()-Z"
"Mean and Std. Deviation of" 433 "fBodyGyro-max()-X"
"Mean and Std. Deviation of" 434 "fBodyGyro-max()-Y"
"Mean and Std. Deviation of" 435 "fBodyGyro-max()-Z"
"Mean and Std. Deviation of" 436 "fBodyGyro-min()-X"
"Mean and Std. Deviation of" 437 "fBodyGyro-min()-Y"
"Mean and Std. Deviation of" 438 "fBodyGyro-min()-Z"
"Mean and Std. Deviation of" 439 "fBodyGyro-sma()"
"Mean and Std. Deviation of" 440 "fBodyGyro-energy()-X"
"Mean and Std. Deviation of" 441 "fBodyGyro-energy()-Y"
"Mean and Std. Deviation of" 442 "fBodyGyro-energy()-Z"
"Mean and Std. Deviation of" 443 "fBodyGyro-iqr()-X"
"Mean and Std. Deviation of" 444 "fBodyGyro-iqr()-Y"
"Mean and Std. Deviation of" 445 "fBodyGyro-iqr()-Z"
"Mean and Std. Deviation of" 446 "fBodyGyro-entropy()-X"
"Mean and Std. Deviation of" 447 "fBodyGyro-entropy()-Y"
"Mean and Std. Deviation of" 448 "fBodyGyro-entropy()-Z"
"Mean and Std. Deviation of" 449 "fBodyGyro-maxInds-X"
"Mean and Std. Deviation of" 450 "fBodyGyro-maxInds-Y"
"Mean and Std. Deviation of" 451 "fBodyGyro-maxInds-Z"
"Mean and Std. Deviation of" 452 "fBodyGyro-meanFreq()-X"
"Mean and Std. Deviation of" 453 "fBodyGyro-meanFreq()-Y"
"Mean and Std. Deviation of" 454 "fBodyGyro-meanFreq()-Z"
"Mean and Std. Deviation of" 455 "fBodyGyro-skewness()-X"
"Mean and Std. Deviation of" 456 "fBodyGyro-kurtosis()-X"
"Mean and Std. Deviation of" 457 "fBodyGyro-skewness()-Y"
"Mean and Std. Deviation of" 458 "fBodyGyro-kurtosis()-Y"
"Mean and Std. Deviation of" 459 "fBodyGyro-skewness()-Z"
"Mean and Std. Deviation of" 460 "fBodyGyro-kurtosis()-Z"
"Mean and Std. Deviation of" 461 "fBodyGyro-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 462 "fBodyGyro-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 463 "fBodyGyro-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 464 "fBodyGyro-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 465 "fBodyGyro-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 466 "fBodyGyro-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 467 "fBodyGyro-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 468 "fBodyGyro-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 469 "fBodyGyro-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 470 "fBodyGyro-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 471 "fBodyGyro-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 472 "fBodyGyro-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 473 "fBodyGyro-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 474 "fBodyGyro-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 475 "fBodyGyro-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 476 "fBodyGyro-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 477 "fBodyGyro-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 478 "fBodyGyro-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 479 "fBodyGyro-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 480 "fBodyGyro-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 481 "fBodyGyro-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 482 "fBodyGyro-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 483 "fBodyGyro-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 484 "fBodyGyro-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 485 "fBodyGyro-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 486 "fBodyGyro-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 487 "fBodyGyro-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 488 "fBodyGyro-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 489 "fBodyGyro-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 490 "fBodyGyro-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 491 "fBodyGyro-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 492 "fBodyGyro-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 493 "fBodyGyro-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 494 "fBodyGyro-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 495 "fBodyGyro-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 496 "fBodyGyro-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 497 "fBodyGyro-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 498 "fBodyGyro-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 499 "fBodyGyro-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 500 "fBodyGyro-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 501 "fBodyGyro-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 502 "fBodyGyro-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 503 "fBodyAccMag-mean()"
"Mean and Std. Deviation of" 504 "fBodyAccMag-std()"
"Mean and Std. Deviation of" 505 "fBodyAccMag-mad()"
"Mean and Std. Deviation of" 506 "fBodyAccMag-max()"
"Mean and Std. Deviation of" 507 "fBodyAccMag-min()"
"Mean and Std. Deviation of" 508 "fBodyAccMag-sma()"
"Mean and Std. Deviation of" 509 "fBodyAccMag-energy()"
"Mean and Std. Deviation of" 510 "fBodyAccMag-iqr()"
"Mean and Std. Deviation of" 511 "fBodyAccMag-entropy()"
"Mean and Std. Deviation of" 512 "fBodyAccMag-maxInds"
"Mean and Std. Deviation of" 513 "fBodyAccMag-meanFreq()"
"Mean and Std. Deviation of" 514 "fBodyAccMag-skewness()"
"Mean and Std. Deviation of" 515 "fBodyAccMag-kurtosis()"
"Mean and Std. Deviation of" 516 "fBodyBodyAccJerkMag-mean()"
"Mean and Std. Deviation of" 517 "fBodyBodyAccJerkMag-std()"
"Mean and Std. Deviation of" 518 "fBodyBodyAccJerkMag-mad()"
"Mean and Std. Deviation of" 519 "fBodyBodyAccJerkMag-max()"
"Mean and Std. Deviation of" 520 "fBodyBodyAccJerkMag-min()"
"Mean and Std. Deviation of" 521 "fBodyBodyAccJerkMag-sma()"
"Mean and Std. Deviation of" 522 "fBodyBodyAccJerkMag-energy()"
"Mean and Std. Deviation of" 523 "fBodyBodyAccJerkMag-iqr()"
"Mean and Std. Deviation of" 524 "fBodyBodyAccJerkMag-entropy()"
"Mean and Std. Deviation of" 525 "fBodyBodyAccJerkMag-maxInds"
"Mean and Std. Deviation of" 526 "fBodyBodyAccJerkMag-meanFreq()"
"Mean and Std. Deviation of" 527 "fBodyBodyAccJerkMag-skewness()"
"Mean and Std. Deviation of" 528 "fBodyBodyAccJerkMag-kurtosis()"
"Mean and Std. Deviation of" 529 "fBodyBodyGyroMag-mean()"
"Mean and Std. Deviation of" 530 "fBodyBodyGyroMag-std()"
"Mean and Std. Deviation of" 531 "fBodyBodyGyroMag-mad()"
"Mean and Std. Deviation of" 532 "fBodyBodyGyroMag-max()"
"Mean and Std. Deviation of" 533 "fBodyBodyGyroMag-min()"
"Mean and Std. Deviation of" 534 "fBodyBodyGyroMag-sma()"
"Mean and Std. Deviation of" 535 "fBodyBodyGyroMag-energy()"
"Mean and Std. Deviation of" 536 "fBodyBodyGyroMag-iqr()"
"Mean and Std. Deviation of" 537 "fBodyBodyGyroMag-entropy()"
"Mean and Std. Deviation of" 538 "fBodyBodyGyroMag-maxInds"
"Mean and Std. Deviation of" 539 "fBodyBodyGyroMag-meanFreq()"
"Mean and Std. Deviation of" 540 "fBodyBodyGyroMag-skewness()"
"Mean and Std. Deviation of" 541 "fBodyBodyGyroMag-kurtosis()"
"Mean and Std. Deviation of" 542 "fBodyBodyGyroJerkMag-mean()"
"Mean and Std. Deviation of" 543 "fBodyBodyGyroJerkMag-std()"
"Mean and Std. Deviation of" 544 "fBodyBodyGyroJerkMag-mad()"
"Mean and Std. Deviation of" 545 "fBodyBodyGyroJerkMag-max()"
"Mean and Std. Deviation of" 546 "fBodyBodyGyroJerkMag-min()"
"Mean and Std. Deviation of" 547 "fBodyBodyGyroJerkMag-sma()"
"Mean and Std. Deviation of" 548 "fBodyBodyGyroJerkMag-energy()"
"Mean and Std. Deviation of" 549 "fBodyBodyGyroJerkMag-iqr()"
"Mean and Std. Deviation of" 550 "fBodyBodyGyroJerkMag-entropy()"
"Mean and Std. Deviation of" 551 "fBodyBodyGyroJerkMag-maxInds"
"Mean and Std. Deviation of" 552 "fBodyBodyGyroJerkMag-meanFreq()"
"Mean and Std. Deviation of" 553 "fBodyBodyGyroJerkMag-skewness()"
"Mean and Std. Deviation of" 554 "fBodyBodyGyroJerkMag-kurtosis()"
"Mean and Std. Deviation of" 555 "angle(tBodyAccMean,gravity)"
"Mean and Std. Deviation of" 556 "angle(tBodyAccJerkMean),gravityMean)"
"Mean and Std. Deviation of" 557 "angle(tBodyGyroMean,gravityMean)"
"Mean and Std. Deviation of" 558 "angle(tBodyGyroJerkMean,gravityMean)"
"Mean and Std. Deviation of" 559 "angle(X,gravityMean)"
"Mean and Std. Deviation of" 560 "angle(Y,gravityMean)"
"Mean and Std. Deviation of" 561 "angle(Z,gravityMean)"
